"","HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","Test1","Test2","Homework","Quiz","Lab","Overall","grade"
"95",73.5,0,92.5,90,80,0,100,100,75,12,83.3333333333333,72.2222222222222,65,95,70.4,65.7,88,73,76,84,100,81.25,"B-"
"96",79,95,92.5,65,72.5,91,100,0,76,11,33.3333333333333,77.7777777777778,95,95,59.2,75.6,74,84,84,89,100,84.35,"B"
"97",0,0,0,42.5,0,0,0,0,0,10,58.3333333333333,0,0,0,42.4,35.55,53,39.5,5,19,80,32.825,"F"
"98",100,97.5,100,90,100,99,100,100,100,12,100,77.7777777777778,90,95,69.6,84.6,87,94,100,95,100,95.15,"A+"
"99",92.5,95,100,0,100,93,90,85,100,12,83.3333333333333,100,70,80,65.6,80.55,82,89.5,94,88,100,90.175,"A"
"100",96,97.5,100,0,100,89,97,100,99,12,100,66.6666666666667,80,95,73.6,78.3,92,87,97,92,100,93.05,"A"
"101",45,77.5,67.5,70,90,71,89,90,85,12,33.3333333333333,72.2222222222222,47.5,70,57.6,63.9,72,71,80,63,100,75.6,"C"
"102",0,85,85,67.5,90,88,96,75,95,12,58.3333333333333,66.6666666666667,50,0,48.8,40.95,61,45.5,85,58,100,67.775,"C-"
"103",85,92.5,100,100,95,90,100,97.5,100,12,100,77.7777777777778,75,60,62.4,61.2,78,68,97,84,100,84.3,"B"
"104",82.5,70,100,65,97,71,78,85,85,11,75,38.8888888888889,55,80,70.4,55.8,88,62,84,70,100,78.8,"C+"
"105",92.5,92.5,100,80,95,97,97,95,80,12,83.3333333333333,55.5555555555556,75,90,57.6,54.9,72,61,94,83,100,80.3,"B-"
"106",55,85,100,100,60,100,80,90,90,12,91.6666666666667,77.7777777777778,85,100,71.2,76.5,89,85,88,92,100,89.25,"A-"
"107",92.5,77.5,92.5,100,100,96,89,97.5,99,12,83.3333333333333,72.2222222222222,80,100,58.4,71.55,73,79.5,96,88,100,86.475,"B+"
"108",62.5,97.5,82.5,67.5,90,98,100,80,100,12,75,72.2222222222222,57.5,75,55.2,50.4,69,56,89,74,100,75.6,"C"
"109",100,100,92.5,100,100,0,94,85,0,10,41.6666666666667,83.3333333333333,70,0,71.2,75.6,89,84,84,65,80,81.75,"B-"
"110",87.5,92.5,100,90,87,96,94,95,70,12,95.8333333333333,83.3333333333333,70,15,64.8,42.3,81,47,93,83,100,78.3,"C+"
"111",92.5,100,100,100,100,99,100,100,97,12,100,100,100,100,64.8,88.2,81,98,100,100,100,95.7,"A+"
"112",95,96,100,100,100,97,30,95,98,12,91.6666666666667,44.4444444444444,80,95,44,63.9,55,71,98,89,100,81.5,"B-"
"113",77.5,95,97.5,80,100,94,99,100,85,12,83.3333333333333,88.8888888888889,60,100,60.8,72.9,76,81,94,91,100,87.3,"B+"
"114",88.5,97,100,90,100,99,97,100,85,12,66.6666666666667,88.8888888888889,95,65,57.6,72.9,72,81,96,84,100,86.05,"B+"
"115",72.5,62.5,100,99,100,0,0,100,99,10,91.6666666666667,83.3333333333333,0,85,62.4,78.75,78,87.5,79,87,80,82.225,"B"
"116",87,100,92.5,80,100,89,50,80,98,12,83.3333333333333,0,60,85,66.4,82.8,83,92,91,76,100,88.3,"A-"
"117",75,100,100,90,100,95,97,95,85,12,91.6666666666667,66.6666666666667,65,95,62.4,60.3,78,67,95,84,100,83.45,"B"
"118",92.5,85,85,0,95,99,81,90,75,12,91.6666666666667,94.4444444444444,45,90,52.8,75.15,66,83.5,88,92,100,84.275,"B"
"119",84,100,87.5,70,100,97,100,90,100,12,83.3333333333333,61.1111111111111,95,80,42.4,55.35,53,61.5,95,86,100,77.375,"C"
"120",77.5,95,95,95,90,89,99,90,85,12,100,77.7777777777778,90,100,71.2,87.3,89,97,92,97,100,94.2,"A"
"121",62.5,90,52.4,90,54,75,25,0,60,11,50,11.1111111111111,0,5,21.6,23.4,27,26,64,22,100,44.4,"F"
"122",80,85,85,90,72,95,92,100,60,12,79.1666666666667,72.2222222222222,55,90,65.6,65.7,82,73,87,80,100,82.75,"B"
"123",0,62.5,10,55,66,0,0,60,30,7,75,0,15,40,32.8,29.25,41,32.5,35,43,20,35.275,"F"
"124",87.5,85,100,100,95,90,100,90,80,12,100,83.3333333333333,65,95,49.6,62.1,62,69,93,93,100,81.5,"B-"
"125",77.5,95,75,100,100,90,97.5,95,100,12,100,88.8888888888889,95,85,56,73.8,70,82,94,95,100,86.95,"B+"
"126",92.5,100,100,100,100,93,88,100,80,12,66.6666666666667,27.7777777777778,75,90,64.8,69.75,81,77.5,97,77,100,86.225,"B+"
"127",88.5,100,100,100,100,99,100,100,100,12,100,100,85,90,68,77.4,85,86,100,97,100,93.05,"A"
"128",50,100,97.5,75,76.25,94,77,93.5,75,12,91.6666666666667,100,90,100,70.4,76.5,88,85,86,97,100,89.2,"A-"
"129",80,100,77.5,77.5,95,90,95,80,0,9,66.6666666666667,77.7777777777778,67.5,0,76,58.95,95,65.5,87,71,60,78.125,"C+"
"130",77.5,90,100,100,90,95,97,100,100,12,75,77.7777777777778,80,90,64.8,59.85,81,66.5,96,83,100,84.075,"B"
"131",86,97.5,100,90,100,98,97,100,100,12,83.3333333333333,100,90,100,77.6,80.1,97,89,98,97,100,95.6,"A+"
"132",100,100,97.5,100,100,100,100,100,100,12,100,100,100,100,80,85.5,100,95,100,100,100,98.75,"A+"
"133",95,85,100,100,100,93,100,90,100,12,100,100,90,100,72,84.6,90,94,97,100,100,95.6,"A+"
"134",100,99,100,90,100,99,100,95,99,12,100,88.8888888888889,95,95,72,78.3,90,87,99,97,100,94,"A"
"135",60,100,92.5,100,100,94,100,80,100,12,75,50,45,65,62.4,75.6,78,84,96,63,100,84.85,"B"
"136",87.5,92.5,100,80,95,89,95,95,90,12,83.3333333333333,77.7777777777778,65,70,55.2,79.2,69,88,93,77,100,85.25,"B"
"137",99,83,92.5,98,100,0,0,0,0,6,33.3333333333333,16.6666666666667,0,0,29.6,12.6,37,14,59,17,0,31.15,"F"
"138",100,100,100,100,100,100,0,100,96,11,75,77.7777777777778,55,80,64.8,58.5,81,65,100,78,100,84.15,"B"
"139",82.5,100,93.5,100,100,95,80,90,100,12,66.6666666666667,88.8888888888889,70,85,63.2,63.45,79,70.5,95,81,100,84.075,"B"
"140",52.5,100,82.5,90,100,94,100,75,85,12,91.6666666666667,50,42.5,85,66.8,74.25,83.5,82.5,91,76,100,86.025,"B+"
