"","HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","Test1","Test2","Homework","Quiz","Lab","Overall","grade"
"242",92.5,100,95,100,100,90,100,85,97.5,12,25,33.3333333333333,20,65,31.2,20.7,39,23,97,41,100,58.8,"D"
"243",92.5,100,97.5,100,100,99,92,100,85,12,91.6666666666667,88.8888888888889,95,95,63.2,68.85,79,76.5,98,94,100,88.425,"A-"
"244",87.5,87.5,100,60,95,72,70,80,0,12,83.3333333333333,61.1111111111111,60,0,62.4,62.1,78,69,82,68,100,77.65,"C+"
"245",80,0,77.5,20,0,37,67,50,85,10,33.3333333333333,16.6666666666667,30,40,50.4,58.5,63,65,52,34,80,57.55,"D"
"246",82.5,95,90,77.5,100,95,84,85,100,12,83.3333333333333,88.8888888888889,80,75,46.4,61.2,58,68,91,84,100,78.5,"C+"
"247",82.5,97.5,75,50,42.5,86,61,85,100,12,58.3333333333333,61.1111111111111,35,80,55.2,49.95,69,55.5,80,66,100,71.575,"C"
"248",96,99,91.5,70,93,86,65,75,90,12,66.6666666666667,38.8888888888889,30,70,41.6,35.1,52,39,88,59,100,65.4,"C-"
"249",75,85,100,100,100,99,90,90,80,11,91.6666666666667,83.3333333333333,95,95,70.4,82.8,88,92,93,94,100,92.6,"A"
"250",92.5,100,100,90,100,99,100,95,100,12,91.6666666666667,77.7777777777778,75,65,66.4,70.2,83,78,98,81,100,87.65,"B+"
"251",94.5,84,95,95,100,98,86,100,0,12,66.6666666666667,72.2222222222222,80,70,40.8,58.95,51,65.5,94,74,100,75.875,"C"
"252",72.5,77.5,0,75,85,0,0,0,65,10,0,27.7777777777778,35,35,19.2,18.45,24,20.5,47,33,80,36.975,"F"
"253",100,79,85,95,85,91,79,75,92,12,91.6666666666667,44.4444444444444,90,90,64,63.9,80,71,88,91,100,83.8,"B"
"254",92.5,100,100,90,98,99,97,100,95,12,66.6666666666667,66.6666666666667,55,75,25.6,54.9,32,61,98,69,100,71.4,"C"
"255",100,100,90,100,100,94,100,100,0,11,100,77.7777777777778,75,0,72,72.9,90,81,98,84,100,90.25,"A"
"256",93,73,100,88,100,96,80,95,95,10,100,50,65,60,76,65.25,95,72.5,93,75,80,84.275,"B"
"257",100,85,97.5,100,95,0,89,90,90,11,79.1666666666667,94.4444444444444,50,85,49.6,66.6,62,74,93,86,100,81.7,"B-"
"258",92.5,100,100,70,100,100,100,100,85,12,75,88.8888888888889,95,0,67.2,72.45,84,80.5,97,86,100,88.925,"A-"
"259",92.5,92.5,90,90,100,90,100,90,85,12,83.3333333333333,72.2222222222222,85,100,63.2,86.4,79,96,93,89,100,91.05,"A"
"260",68,55.5,85,0,65,50,52,0,20,10,50,50,30,35,43.2,28.8,54,32,49,45,80,48.25,"F"
"261",92.5,92.5,100,90,100,100,100,0,80,12,95.8333333333333,100,0,100,70.4,78.3,88,87,94,99,100,92.4,"A"
"262",57.5,100,100,0,80,93,76,75,95,12,75,72.2222222222222,70,90,79.2,66.6,99,74,85,79,100,85.65,"B"
"263",89.5,57,95,90,0,98,0,75,100,9,75,77.7777777777778,45,55,37.6,71.1,47,79,76,69,60,68.3,"C-"
"264",89.5,79,97.5,100,90,99,100,100,99,12,100,88.8888888888889,75,90,68.8,85.95,86,95.5,97,93,100,94.125,"A"
"265",75,100,92.5,100,100,99,100,90,100,12,83.3333333333333,88.8888888888889,95,100,77.6,77.4,97,86,98,95,100,94.55,"A"
"266",87.5,92.5,90,80,90,80,89,90,55,12,75,77.7777777777778,80,100,52,71.1,65,79,87,86,100,81.75,"B-"
"267",57.5,70,82.5,0,55,0,51,45,0,11,83.3333333333333,38.8888888888889,57.5,0,40,55.8,50,62,45,60,100,58,"D"
"268",52.5,77.5,97.5,50,95,80,79,90,50,12,66.6666666666667,38.8888888888889,65,90,46.4,52.65,58,58.5,78,74,100,70.725,"C"
"269",82.5,0,92.5,80,93,98,85,100,85,12,83.3333333333333,77.7777777777778,55,90,68.8,75.15,86,83.5,90,84,100,87.675,"B+"
"270",62.5,70,87.5,60,100,80,84,95,80,12,41.6666666666667,88.8888888888889,65,75,42.4,63.9,53,71,82,76,100,74.35,"C"
"271",65,55,87.5,90,90,72,77,0,80,12,83.3333333333333,72.2222222222222,57.5,80,68,75.6,85,84,77,79,100,82.95,"B"
"272",85,90,90,20,95,85,97,75,80,12,58.3333333333333,27.7777777777778,50,30,59.52,57.6,74.4,64,87,46,100,73.88,"C"
"273",100,100,100,100,100,75,100,95,65,12,95.8333333333333,72.2222222222222,45,85,50.4,68.4,63,76,96,84,100,83,"B"
"274",87.5,100,92.5,100,100,100,90,100,100,12,83.3333333333333,88.8888888888889,75,85,69.6,81,87,90,98,86,100,92.2,"A"
"275",92.5,70,85,80,100,97,79,100,85,12,83.3333333333333,100,95,100,76.8,68.4,96,76,90,98,100,89.9,"A-"
"276",62.5,80,75,100,95,95,100,85,100,12,75,100,80,75,56.8,53.55,71,59.5,91,85,100,79.125,"C+"
"277",87,100,100,100,99,99,100,100,96,11,50,66.6666666666667,70,90,64,78.75,80,87.5,99,76,100,88.975,"A-"
"278",60,75,100,0,100,94,100,90,100,10,50,33.3333333333333,25,40,69.6,44.55,87,49.5,90,41,80,70.925,"C"
"279",79,96.5,92.5,100,100,98,87,100,82,12,100,77.7777777777778,75,100,66.4,70.65,83,78.5,94,93,100,88.375,"A-"
"280",87.5,97.5,95,90,90,88,100,60,100,12,66.6666666666667,83.3333333333333,67.5,0,68.8,70.2,86,78,94,72,100,85.7,"B"
"281",60,82.5,92.5,80,0,73,85.5,100,85,11,75,50,57.5,65,76.8,74.7,96,83,82,66,100,84.45,"B"
"282",90,100,100,100,95,99,100,95,100,12,100,100,80,90,64.8,72.9,81,81,99,97,100,90.7,"A"
"283",92.5,100,100,100,100,99,100,100,95,12,83.3333333333333,66.6666666666667,70,95,71.2,76.5,89,85,99,83,100,91.2,"A"
"284",87.5,100,65,70,0,76,80,100,98,9,50,33.3333333333333,55,95,53.6,70.2,67,78,85,67,60,74.45,"C"
"285",0,85,100,100,100,99,100,97.5,100,12,66.6666666666667,77.7777777777778,70,75,60,81,75,90,98,74,100,88,"A-"
"286",70,70,55,65,72.5,58,47,60,80,12,91.6666666666667,55.5555555555556,75,100,65.6,58.05,82,64.5,66,89,100,75.675,"C"
"287",82.5,77.5,100,90,95,93,84,100,85,12,100,77.7777777777778,85,45,59.2,70.2,74,78,91,88,100,84.8,"B"
"288",100,85,100,100,100,87,97,90,100,12,66.6666666666667,100,85,90,64,66.15,80,73.5,97,92,100,87.275,"B+"
"289",82.5,100,92.5,80,100,99,100,80,100,12,100,100,90,100,71.2,89.1,89,99,94,100,100,95.75,"A+"
"290",0,80,100,95,78,90,77,75,97,11,83.3333333333333,66.6666666666667,55,85,58.4,59.85,73,66.5,86,78,100,78.725,"C+"
"291",77.5,0,92.5,90,85,66,48,70,85,12,50,50,25,30,28,40.05,35,44.5,77,43,100,57.675,"D"
"292",92.5,72.5,72.5,30,0,83,100,0,85,12,58.3333333333333,44.4444444444444,35,15,20.8,18.45,26,20.5,67,46,100,47.325,"F"
"293",92.5,100,100,100,100,99,97,100,85,12,91.6666666666667,100,95,100,71.2,79.65,89,88.5,99,98,100,94.325,"A"
"294",73.5,85,95,90,99,88,97,90,100,12,50,77.7777777777778,45,70,75.2,64.8,94,72,93,66,100,84.6,"B"
"295",92.5,100,100,100,100,100,92,0,95,12,91.6666666666667,94.4444444444444,75,100,78.4,80.1,98,89,97,95,100,95.2,"A+"
"296",92.5,92.5,97.5,80,97,100,89,90,60,11,87.5,66.6666666666667,30,70,51.2,44.1,64,49,92,75,100,73.9,"C"
"297",52.5,47.5,97.5,75,65,81,79,90,65,10,75,44.4444444444444,40,75,39.2,60.3,49,67,76,65,80,67.1,"C-"
"298",77.5,92.5,77.5,90,93,90,90,55,65,11,66.6666666666667,44.4444444444444,30,50,64,49.05,80,54.5,84,54,100,72.925,"C"
"299",72.5,65,90,70,75,84,65,80,85,11,83.3333333333333,61.1111111111111,80,95,64,71.1,80,79,78,86,100,82.05,"B"
"300",78.5,0,72.5,90,95,87,97,100,100,11,50,77.7777777777778,85,65,56,60.75,70,67.5,90,76,100,79.275,"C+"
"301",80,100,95,70,87.5,90,96,100,85,12,91.6666666666667,61.1111111111111,55,95,61.6,80.55,77,89.5,92,83,100,87.825,"B+"
"302",62.5,0,77.5,90,100,98,100,90,100,12,100,94.4444444444444,35,90,76,74.25,95,82.5,90,95,100,90.875,"A"
"303",94,100,100,90,100,99,100,95,95,12,91.6666666666667,77.7777777777778,80,90,56.8,65.25,71,72.5,98,87,100,84.775,"B"
"304",66,85,90,90,100,0,65,95,100,12,83.3333333333333,22.2222222222222,75,65,42.4,36.9,53,41,86,74,100,67.75,"C-"
"305",77.5,85,85,60,100,100,86,100,80,12,75,83.3333333333333,75,65,44,60.3,55,67,89,78,100,76.15,"C"
"306",87.5,77.5,100,95,95,100,0,75,75,12,95.8333333333333,88.8888888888889,75,100,67.2,72.9,84,81,88,95,100,87.7,"B+"
"307",99.5,100,100,90,72.5,100,97,100,98,12,91.6666666666667,100,75,90,56,70.2,70,78,98,94,100,87,"B+"
"308",82.5,100,95,80,95,96,100,80,85,12,100,77.7777777777778,85,90,72,76.5,90,85,92,92,100,90.65,"A"
"309",85,95,85,100,100,98,88,90,85,12,100,50,65,95,64.8,67.5,81,75,93,87,100,85.9,"B"
"310",52.5,92.5,97.5,0,91.25,0,0,0,0,10,58.3333333333333,0,0,0,43.2,20.7,54,23,42,19,80,40,"F"
"311",87.5,77.5,100,60,100,89,83,80,80,12,83.3333333333333,77.7777777777778,65,80,59.2,71.55,74,79.5,87,80,100,82.775,"B"
"312",92.5,100,95,100,100,99,100,85,98,12,100,88.8888888888889,75,95,80,84.15,100,93.5,98,95,100,97.025,"A+"
"313",47.5,72.5,92.5,95,100,88.5,80,82.5,100,12,75,61.1111111111111,45,100,47.2,62.1,59,69,89,79,100,77.6,"C+"
"314",98,94,77.5,90,95,97,100,90,99,12,91.6666666666667,72.2222222222222,55,75,60.8,48.6,76,54,95,80,100,79.2,"C+"
"315",80.5,85,100,90,95,96,86,60,100,12,66.6666666666667,77.7777777777778,75,95,76.8,66.15,96,73.5,92,83,100,87.625,"B+"
"316",60,0,90,0,0,91,0,47.5,66,11,75,72.2222222222222,30,100,62.4,53.55,78,59.5,44,82,100,65.975,"C-"
"317",0,50,42.5,80,100,83,71,75,50,12,66.6666666666667,61.1111111111111,55,35,14.4,39.6,18,44,69,61,100,54.45,"D"
"318",92.5,85,100,70,90,96,100,100,100,11,75,66.6666666666667,45,95,67.2,64.8,84,72,95,79,100,85.15,"B"
"319",92.5,100,100,100,100,0,90,100,100,11,91.6666666666667,61.1111111111111,65,80,78.4,75.6,98,84,98,79,100,91.85,"A"
"320",87.5,100,97.5,100,90,80,100,80,94,12,75,72.2222222222222,60,75,54.4,53.1,68,59,94,74,100,77.65,"C+"
"321",65,100,90,90,100,99,86,72.5,75,12,100,88.8888888888889,80,95,71.2,72.9,89,81,89,95,100,89,"A-"
"322",92.5,100,100,100,95,100,86,100,80,12,95.8333333333333,72.2222222222222,60,100,62.4,74.25,78,82.5,97,89,100,88.675,"A-"
"323",82.5,100,95,100,0,100,92,100,100,12,58.3333333333333,100,65,80,68.8,63.9,86,71,96,82,100,86.05,"B+"
"324",0,75,67.5,90,80,71,0,50,0,8,83.3333333333333,61.1111111111111,25,35,64,44.55,80,49.5,54,60,40,57.575,"D"
"325",82.5,87.5,85,35,60,95,87,100,85,11,58.3333333333333,94.4444444444444,95,100,71.2,81,89,90,85,96,100,90.2,"A"
"326",82.5,100,85,90,95,85,90,100,82.5,12,100,55.5555555555556,65,75,46.4,71.1,58,79,91,80,100,80.65,"B-"
"327",72.5,100,100,100,100,80,76,85,98,12,91.6666666666667,72.2222222222222,70,100,74.4,80.1,93,89,92,88,100,91.65,"A"
"328",72.5,70,100,90,100,95,97,100,85,12,100,88.8888888888889,75,80,72,75.15,90,83.5,92,90,100,89.975,"A-"
"329",0,0,0,10,0,0,53.5,70,32,9,33.3333333333333,0,55,45,32.8,56.7,41,63,21,44,60,42.85,"F"
"330",88.5,99,0,0,85,0,0,85,85,12,75,50,80,70,57.6,50.85,72,56.5,55,75,100,66.275,"C-"
"331",95,95,100,100,95,99,100,100,100,12,91.6666666666667,88.8888888888889,65,100,65.6,81,82,90,99,94,100,92.7,"A"
"332",72.5,92.5,100,90,95,89,83,95,100,12,91.6666666666667,22.2222222222222,60,75,60.8,57.15,76,63.5,93,76,100,80.375,"B-"
"333",100,85,100,100,100,99,97,85,95,12,100,100,100,100,80,89.1,100,99,97,100,100,98.85,"A+"
"334",92.5,75,100,100,96.25,96,100,90,100,12,75,88.8888888888889,70,90,61.6,74.7,77,83,97,85,100,88,"A-"
